## Bin(cM)	Covariance
   0.9860	  0.00100
   0.9870	  0.00022
   0.9880	  0.00077
   0.9890	  0.00024
   0.9900	  0.00105
   0.9910	  0.00062
   0.9920	  0.00048
   0.9930	  0.00045
   0.9940	  0.00061
   0.9950	  0.00053
   0.9960	 -0.00003
   0.9970	  0.00023
   0.9980	 -0.00037
   0.9990	  0.00079
   1.0000	  0.00058
